FSA	date	FSALabel	FSAgenderLabel	proposer	proposerLabel	proposergenderLabel	electedLabel
https://beyond-notability.wikibase.cloud/entity/Q1497		Beatrice Mary Blackwood		https://beyond-notability.wikibase.cloud/entity/Q120	Donald Benjamin Harden	man	successful
https://beyond-notability.wikibase.cloud/entity/Q23	1920-04-28T00:00:00Z	Eugénie Sellers Strong	woman	https://beyond-notability.wikibase.cloud/entity/Q27	Society of Antiquaries of London Council		successful
https://beyond-notability.wikibase.cloud/entity/Q57	1920-04-28T00:00:00Z	Rose Graham	woman	https://beyond-notability.wikibase.cloud/entity/Q27	Society of Antiquaries of London Council		successful
https://beyond-notability.wikibase.cloud/entity/Q553	1920-06-12T00:00:00Z	Ellen Ann Willmott	woman	https://beyond-notability.wikibase.cloud/entity/Q54	Walter Henry, Baron Northborne	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q130	1920-11-24T00:00:00Z	Gertrude Bell	woman	https://beyond-notability.wikibase.cloud/entity/Q27	Society of Antiquaries of London Council		successful
https://beyond-notability.wikibase.cloud/entity/Q60	1921-03-03T00:00:00Z	Nina Frances Layard	woman	https://beyond-notability.wikibase.cloud/entity/Q27	Society of Antiquaries of London Council		successful
https://beyond-notability.wikibase.cloud/entity/Q133	1924-03-19T00:00:00Z	Margerie Venables Taylor	woman	https://beyond-notability.wikibase.cloud/entity/Q43	Arthur Evans	man	successful
https://beyond-notability.wikibase.cloud/entity/Q76	1925-02-04T00:00:00Z	Rachael Poole	woman	https://beyond-notability.wikibase.cloud/entity/Q140	Charles John Holmes	man	successful
https://beyond-notability.wikibase.cloud/entity/Q145	1928-03-01T00:00:00Z	Tessa Verney Wheeler	woman	https://beyond-notability.wikibase.cloud/entity/Q137	Alfred William Clapham	man	successful
https://beyond-notability.wikibase.cloud/entity/Q153	1929-01-10T00:00:00Z	Eliza Jeffries Davis	woman	https://beyond-notability.wikibase.cloud/entity/Q155	Arthur Hermann Thomas	man	successful
https://beyond-notability.wikibase.cloud/entity/Q165	1929-05-02T00:00:00Z	Margaret Helen Longhurst	woman	https://beyond-notability.wikibase.cloud/entity/Q168	Eric Maclagan	man	successful
https://beyond-notability.wikibase.cloud/entity/Q177	1930-03-06T00:00:00Z	Katherine Ada Esdaile	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q238	1932-02-04T00:00:00Z	Winifred Lamb	woman	https://beyond-notability.wikibase.cloud/entity/Q112	John Nowell Linton Myres	man	successful
https://beyond-notability.wikibase.cloud/entity/Q256	1932-03-03T00:00:00Z	Dorothy Mary Liddell	woman	https://beyond-notability.wikibase.cloud/entity/Q99	Joscelyn Plunket Bushe-Fox	man	successful
https://beyond-notability.wikibase.cloud/entity/Q266	1933-01-12T00:00:00Z	Mary Scarlet Holgate	woman	https://beyond-notability.wikibase.cloud/entity/Q178	Walter Hindes Godfrey	man	successful
https://beyond-notability.wikibase.cloud/entity/Q275	1933-03-02T00:00:00Z	Joan Evans	woman	https://beyond-notability.wikibase.cloud/entity/Q104	Edward Thurlow Leeds	man	successful
https://beyond-notability.wikibase.cloud/entity/Q294	1934-01-11T00:00:00Z	Dina Portway Dobson	woman	https://beyond-notability.wikibase.cloud/entity/Q297	Martin Conway	man	successful
https://beyond-notability.wikibase.cloud/entity/Q317	1934-02-01T00:00:00Z	Irene Josephine Churchill	woman	https://beyond-notability.wikibase.cloud/entity/Q297	Martin Conway	man	successful
https://beyond-notability.wikibase.cloud/entity/Q329	1934-03-01T00:00:00Z	Emma Elizabeth Cope	woman	https://beyond-notability.wikibase.cloud/entity/Q330	Richard Grosvenor Bartelot	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q352	1935-01-17T00:00:00Z	Mabel Helmer Mills	woman	https://beyond-notability.wikibase.cloud/entity/Q158	Montague Spencer Giuseppi	man	successful
https://beyond-notability.wikibase.cloud/entity/Q392	1935-02-01T00:00:00Z	Gwenllian Elizabeth Fanny Morgan	woman	https://beyond-notability.wikibase.cloud/entity/Q393	K. D. Pringle	man	successful
https://beyond-notability.wikibase.cloud/entity/Q357	1935-02-07T00:00:00Z	Annie Geddes Gilchrist	woman	https://beyond-notability.wikibase.cloud/entity/Q358	John Alexander Fuller Maitland	man	successful
https://beyond-notability.wikibase.cloud/entity/Q374	1935-02-07T00:00:00Z	Maude Violet Clarke	woman	https://beyond-notability.wikibase.cloud/entity/Q180	Alexander Hamilton Thompson	man	successful
https://beyond-notability.wikibase.cloud/entity/Q883	1935-03-14T00:00:00Z	Gladys Scott-Thomson	woman	https://beyond-notability.wikibase.cloud/entity/Q160	Charles Harding Firth	man	successful
https://beyond-notability.wikibase.cloud/entity/Q881	1935-10-17T00:00:00Z	Mildred Berkeley	woman	https://beyond-notability.wikibase.cloud/entity/Q869	Robert Holland Martin	man	successful
https://beyond-notability.wikibase.cloud/entity/Q880	1935-11-21T00:00:00Z	Emma Louisa Radford	woman	https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q807	1936-05-15T00:00:00Z	Elsie Margaret Clifford	woman	https://beyond-notability.wikibase.cloud/entity/Q244	Miles Crawford Burkitt	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q807	1936-05-15T00:00:00Z	Elsie Margaret Clifford	woman	https://beyond-notability.wikibase.cloud/entity/Q808	Roland Austin	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q709	1936-10-22T00:00:00Z	Kathleen Mary Kenyon	woman	https://beyond-notability.wikibase.cloud/entity/Q145	Tessa Verney Wheeler	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q863	1936-10-24T00:00:00Z	Dorothy Annie Elizabeth Garrod	woman	https://beyond-notability.wikibase.cloud/entity/Q148	Osbert Guy Stanhope Crawford	man	successful
https://beyond-notability.wikibase.cloud/entity/Q876	1936-11-12T00:00:00Z	Sylvia Benton	woman	https://beyond-notability.wikibase.cloud/entity/Q298	Vere Gordon Childe	man	successful
https://beyond-notability.wikibase.cloud/entity/Q875	1937-03-11T00:00:00Z	Mary Kitson Clark	woman	https://beyond-notability.wikibase.cloud/entity/Q112	John Nowell Linton Myres	man	successful
https://beyond-notability.wikibase.cloud/entity/Q874	1937-11-25T00:00:00Z	Frances Rose-Troup	woman	https://beyond-notability.wikibase.cloud/entity/Q180	Alexander Hamilton Thompson	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q870	1938-03-31T00:00:00Z	Gertrude Caton-Thompson	woman	https://beyond-notability.wikibase.cloud/entity/Q45	John Linton Myres	man	successful
https://beyond-notability.wikibase.cloud/entity/Q868	1938-05-12T00:00:00Z	Thalassa Mary Hencken	woman	https://beyond-notability.wikibase.cloud/entity/Q869	Robert Holland Martin	man	successful
https://beyond-notability.wikibase.cloud/entity/Q867	1938-10-20T00:00:00Z	Lily Frances Chitty	woman	https://beyond-notability.wikibase.cloud/entity/Q99	Joscelyn Plunket Bushe-Fox	man	successful
https://beyond-notability.wikibase.cloud/entity/Q866	1939-01-19T00:00:00Z	Isobel Dorothy Thornley	woman	https://beyond-notability.wikibase.cloud/entity/Q157	Charles Johnson	man	successful
https://beyond-notability.wikibase.cloud/entity/Q106	1940-01-04T00:00:00Z	Jacquetta Hawkes	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	successful
https://beyond-notability.wikibase.cloud/entity/Q712	1941-10-30T00:00:00Z	Katherine Margaret Richardson	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	successful
https://beyond-notability.wikibase.cloud/entity/Q862	1942-02-26T00:00:00Z	Kathleen Major	woman	https://beyond-notability.wikibase.cloud/entity/Q180	Alexander Hamilton Thompson	man	successful
https://beyond-notability.wikibase.cloud/entity/Q864	1942-02-26T00:00:00Z	Jocelyn Mary Catherine Toynbee	woman	https://beyond-notability.wikibase.cloud/entity/Q863	Dorothy Annie Elizabeth Garrod	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q858	1942-10-29T00:00:00Z	Cecil Louisa Curle	woman	https://beyond-notability.wikibase.cloud/entity/Q859	James Curle	man	successful
https://beyond-notability.wikibase.cloud/entity/Q860	1942-10-29T00:00:00Z	Margaret Davies	woman	https://beyond-notability.wikibase.cloud/entity/Q304	Herbert John Fleure	man	successful
https://beyond-notability.wikibase.cloud/entity/Q710	1942-10-29T00:00:00Z	Rachel Maxwell Hyslop	woman	https://beyond-notability.wikibase.cloud/entity/Q810	Sidney Smith	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1675	1943-01-28T00:00:00Z	Audrey Williams	woman	https://beyond-notability.wikibase.cloud/entity/Q1457	William Francis Grimes	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1119	1943-01-28T00:00:00Z	Aileen Fox	woman	https://beyond-notability.wikibase.cloud/entity/Q261	Courtenay Arthur Ralegh Radford	man	successful
https://beyond-notability.wikibase.cloud/entity/Q809	1943-02-25T00:00:00Z	Barbara Parker	woman	https://beyond-notability.wikibase.cloud/entity/Q810	Sidney Smith	man	successful
https://beyond-notability.wikibase.cloud/entity/Q807	1943-05-27T00:00:00Z	Elsie Margaret Clifford	woman	https://beyond-notability.wikibase.cloud/entity/Q244	Miles Crawford Burkitt	man	successful
https://beyond-notability.wikibase.cloud/entity/Q807	1943-05-27T00:00:00Z	Elsie Margaret Clifford	woman	https://beyond-notability.wikibase.cloud/entity/Q808	Roland Austin	man	successful
https://beyond-notability.wikibase.cloud/entity/Q805	1944-01-13T00:00:00Z	Margaret Dickens Whinney	woman	https://beyond-notability.wikibase.cloud/entity/Q806	Thomas Downing Kendrick	man	successful
https://beyond-notability.wikibase.cloud/entity/Q804	1944-01-27T00:00:00Z	Peggy Piggott	woman	https://beyond-notability.wikibase.cloud/entity/Q97	Christopher Hawkes	man	successful
https://beyond-notability.wikibase.cloud/entity/Q802	1944-05-25T00:00:00Z	Mary Coate	woman	https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q803	1944-05-25T00:00:00Z	Evelyn Mary Jamison	woman	https://beyond-notability.wikibase.cloud/entity/Q172	George Francis Hill	man	successful
https://beyond-notability.wikibase.cloud/entity/Q798	1944-10-24T00:00:00Z	Joan Wake	woman	https://beyond-notability.wikibase.cloud/entity/Q799	Harold Idris Bell	man	successful
https://beyond-notability.wikibase.cloud/entity/Q796	1944-10-26T00:00:00Z	Marion Helen Cooper	woman	https://beyond-notability.wikibase.cloud/entity/Q797	Eliot Curwen	man	successful
https://beyond-notability.wikibase.cloud/entity/Q800	1944-10-26T00:00:00Z	Margot Eates	woman	https://beyond-notability.wikibase.cloud/entity/Q801	Owen Fortrie Parker	man	successful
https://beyond-notability.wikibase.cloud/entity/Q795	1944-11-30T00:00:00Z	Veronica Ruffer	woman	https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q793	1945-01-25T00:00:00Z	Dorothy Whitelock	woman	https://beyond-notability.wikibase.cloud/entity/Q864	Jocelyn Mary Catherine Toynbee	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q713	1945-02-08T00:00:00Z	Joan du Plat Taylor	woman	https://beyond-notability.wikibase.cloud/entity/Q709	Kathleen Mary Kenyon	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q901	1945-02-08T00:00:00Z	Dorothy Gardiner	woman	https://beyond-notability.wikibase.cloud/entity/Q902	Francis Wentworth Tomlinson	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1715	1945-03-08T00:00:00Z	Alison Nugent Young	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q1715	1945-03-08T00:00:00Z	Alison Nugent Young	woman	https://beyond-notability.wikibase.cloud/entity/Q709	Kathleen Mary Kenyon	woman	not successful
https://beyond-notability.wikibase.cloud/entity/Q1584	1946-01-31T00:00:00Z	Anne Roper	woman	https://beyond-notability.wikibase.cloud/entity/Q1585	Gordon Reginald Ward	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q1584	1946-01-31T00:00:00Z	Anne Roper	woman	https://beyond-notability.wikibase.cloud/entity/Q1597	Raymond Herbert D'Elboux	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q109	1946-01-31T00:00:00Z	Katherine Maud Elisabeth Murray	woman	https://beyond-notability.wikibase.cloud/entity/Q180	Alexander Hamilton Thompson	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1176	1946-05-30T00:00:00Z	Veronica Seton-Williams	woman	https://beyond-notability.wikibase.cloud/entity/Q1177	John Garstang	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1540	1946-05-30T00:00:00Z	Katherine Sophia Hodgson	woman	https://beyond-notability.wikibase.cloud/entity/Q1420	Ian Archibald Richmond	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q1540	1946-05-30T00:00:00Z	Katherine Sophia Hodgson	woman	https://beyond-notability.wikibase.cloud/entity/Q1542	Eric Birley	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q1176	1946-10-31T00:00:00Z	Veronica Seton-Williams	woman	https://beyond-notability.wikibase.cloud/entity/Q1177	John Garstang	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1104	1946-10-31T00:00:00Z	Vera Mary Dallas	woman	https://beyond-notability.wikibase.cloud/entity/Q180	Alexander Hamilton Thompson	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1421	1946-11-21T00:00:00Z	Rosalind Mary Theodosia Hill	woman	https://beyond-notability.wikibase.cloud/entity/Q862	Kathleen Major	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1423	1946-11-28T00:00:00Z	Gertrude Rachel Levy	woman	https://beyond-notability.wikibase.cloud/entity/Q238	Winifred Lamb	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1324	1946-12-05T00:00:00Z	Cecily M. Baker	woman	https://beyond-notability.wikibase.cloud/entity/Q1425	William Henry Clement Le Hardy	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1030	1947-02-27T00:00:00Z	Gisela Marie Augusta Richter	woman	https://beyond-notability.wikibase.cloud/entity/Q149	Cyril Fox	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1439	1947-05-01T00:00:00Z	Florence Elizabeth Harmer	woman	https://beyond-notability.wikibase.cloud/entity/Q793	Dorothy Whitelock	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1118	1947-10-30T00:00:00Z	Margaret Eleanore Murray Threipland	woman	https://beyond-notability.wikibase.cloud/entity/Q1119	Aileen Fox	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1442	1947-10-30T00:00:00Z	Elsie Matley Moore	woman	https://beyond-notability.wikibase.cloud/entity/Q168	Eric Maclagan	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1448	1947-10-30T00:00:00Z	Ethel Carleton Williams	woman	https://beyond-notability.wikibase.cloud/entity/Q57	Rose Graham	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1114	1947-10-30T00:00:00Z	Helen O'Neil	woman	https://beyond-notability.wikibase.cloud/entity/Q1455	Gerald Clough Dunning	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1460	1947-11-06T00:00:00Z	Margaret Ruth Toynbee	woman	https://beyond-notability.wikibase.cloud/entity/Q883	Gladys Scott-Thomson	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1496	1947-11-13T00:00:00Z	Daisy Emily Martin Clarke	woman	https://beyond-notability.wikibase.cloud/entity/Q864	Jocelyn Mary Catherine Toynbee	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1500	1947-11-27T00:00:00Z	Amy Joyce Godber	woman	https://beyond-notability.wikibase.cloud/entity/Q862	Kathleen Major	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1509	1948-02-26T00:00:00Z	Mabel Blundell Heynemann	woman	https://beyond-notability.wikibase.cloud/entity/Q1510	James Digby Firth	man	
https://beyond-notability.wikibase.cloud/entity/Q1523	1948-04-23T00:00:00Z	Ursula Mary Radford	woman	https://beyond-notability.wikibase.cloud/entity/Q261	Courtenay Arthur Ralegh Radford	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1528	1948-11-04T00:00:00Z	Jocelyn Eva Kellett	woman	https://beyond-notability.wikibase.cloud/entity/Q1510	James Digby Firth	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q1533	1948-11-11T00:00:00Z	Marjorie Blanche Honeybourne	woman	https://beyond-notability.wikibase.cloud/entity/Q178	Walter Hindes Godfrey	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1540	1948-11-11T00:00:00Z	Katherine Sophia Hodgson	woman	https://beyond-notability.wikibase.cloud/entity/Q1420	Ian Archibald Richmond	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1540	1948-11-11T00:00:00Z	Katherine Sophia Hodgson	woman	https://beyond-notability.wikibase.cloud/entity/Q1542	Eric Birley	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1109	1948-12-09T00:00:00Z	Molly Cotton	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1552	1949-01-27T00:00:00Z	Lilian Lindsay	woman	https://beyond-notability.wikibase.cloud/entity/Q1553	Humphrey Francis Humphreys	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1563	1949-02-24T00:00:00Z	Mary Desiree Cox	woman	https://beyond-notability.wikibase.cloud/entity/Q275	Joan Evans	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1574	1949-03-31T00:00:00Z	Rosalind Louisa Beaufort Moss	woman	https://beyond-notability.wikibase.cloud/entity/Q1575	Stephen Ranulph Kingdon Glanville	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1584	1949-04-07T00:00:00Z	Anne Roper	woman	https://beyond-notability.wikibase.cloud/entity/Q1585	Gordon Reginald Ward	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1584	1949-04-07T00:00:00Z	Anne Roper	woman	https://beyond-notability.wikibase.cloud/entity/Q1597	Raymond Herbert D'Elboux	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1579	1949-04-07T00:00:00Z	Edith Mary Walker	woman	https://beyond-notability.wikibase.cloud/entity/Q875	Mary Kitson Clark	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1101	1949-10-27T00:00:00Z	Olwen Brogan	woman	https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1611	1949-11-03T00:00:00Z	Sophia Wyndham Rawlins	woman	https://beyond-notability.wikibase.cloud/entity/Q259	Harold St George Gray	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1115	1949-11-03T00:00:00Z	Florence Margaret Patchett	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1668	1950-01-01T00:00:00Z	Clare Isobel Fell		https://beyond-notability.wikibase.cloud/entity/Q1498	Geoffrey Hext Sutherland Bushnell	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1674	1950-01-01T00:00:00Z	Joan Eileen Annie Liversidge	woman	https://beyond-notability.wikibase.cloud/entity/Q1498	Geoffrey Hext Sutherland Bushnell	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1640	1950-01-19T00:00:00Z	Dorothy Greene	woman	https://beyond-notability.wikibase.cloud/entity/Q1426	Bryan Hugh St John O'Neil	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1644	1950-01-26T00:00:00Z	Elizabeth Ralph	woman	https://beyond-notability.wikibase.cloud/entity/Q1785	John William Walker	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1652	1950-02-02T00:00:00Z	Beatrice De Cardi	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1654	1950-03-23T00:00:00Z	Hilda Roderick Ellis Davidson	woman	https://beyond-notability.wikibase.cloud/entity/Q864	Jocelyn Mary Catherine Toynbee	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1659	1950-03-23T00:00:00Z	Nora Kershaw Chadwick	woman	https://beyond-notability.wikibase.cloud/entity/Q864	Jocelyn Mary Catherine Toynbee	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1660	1950-03-23T00:00:00Z	Margaret Campbell Speke Cruwys	woman	https://beyond-notability.wikibase.cloud/entity/Q261	Courtenay Arthur Ralegh Radford	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1665	1950-05-25T00:00:00Z	Olga Tufnell	woman	https://beyond-notability.wikibase.cloud/entity/Q1177	John Garstang	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1680	1950-11-30T00:00:00Z	Marjorie Cross	woman	https://beyond-notability.wikibase.cloud/entity/Q1542	Eric Birley	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1685	1951-01-18T00:00:00Z	Nancy Piercy Fox	woman	https://beyond-notability.wikibase.cloud/entity/Q1586	Frank Charles Elliston-Erwood	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q1691	1951-01-25T00:00:00Z	Francoise Henry	woman	https://beyond-notability.wikibase.cloud/entity/Q1635	Rupert Leo Scott Bruce-Mitford	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1695	1951-02-15T00:00:00Z	Dorothy Nancy Stroud	woman	https://beyond-notability.wikibase.cloud/entity/Q1534	Egyptian Research Students' Association		successful
https://beyond-notability.wikibase.cloud/entity/Q1702	1951-03-08T00:00:00Z	Grace Briscoe	woman	https://beyond-notability.wikibase.cloud/entity/Q1703	Thomas Charles Lethbridge	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1706	1951-11-22T00:00:00Z	Joan Radcliffe Kirk	woman	https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1707	1952-01-24T00:00:00Z	Mary Doreen Lobel	woman	https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1709	1952-01-24T00:00:00Z	Beatrice M. Irene White	woman	https://beyond-notability.wikibase.cloud/entity/Q1710	R. P. Howgrave-Graham	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1714	1952-01-31T00:00:00Z	May McKisack	woman	https://beyond-notability.wikibase.cloud/entity/Q133	Margerie Venables Taylor	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q1715	1952-01-31T00:00:00Z	Alison Nugent Young	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	successful
https://beyond-notability.wikibase.cloud/entity/Q1715	1952-01-31T00:00:00Z	Alison Nugent Young	woman	https://beyond-notability.wikibase.cloud/entity/Q709	Kathleen Mary Kenyon	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q792	1952-01-31T00:00:00Z	Dorothy Mary Mackay	woman	https://beyond-notability.wikibase.cloud/entity/Q120	Donald Benjamin Harden	man	successful
